name,mass_msun_somers,mass_spotless_msun,teff_k,lstar_lsun,log_macc,log_lacc,radius_au,dist_pc,reference,category,mass_calibration,spot_coverage_fraction,mass_msun,mass_kg,lacc_w,power_density_w_per_kg
J11045701-7715569,0.3315967213114754,0.285,3415,0.41,-7.535,-0.94,23.2308,193.59,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.3315967213114754,6.593701324262294e+29,4.395132063090068e+25,6.665652335385084e-05
J11062554-7633418,0.0919162841530054,0.079,3060,0.044,-10.27,-3.86,32.2608,201.63,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.0919162841530054,1.8277277354972665e+29,5.284110964899845e+22,2.891082113749402e-07
J11063276-7625210,0.055847868852459,0.048,2935,0.022,-10.63,-4.35,189.19,,,young_stellar_objects,somers_2020_spots,0.17,0.055847868852459,1.1105181177704915e+29,1.7099047907538883e+22,1.539736059585181e-07
J11064180-7635489,0.1314751912568306,0.113,3125,0.073,-8.841,-2.39,194.69,,,young_stellar_objects,somers_2020_spots,0.17,0.1314751912568306,2.6143447355846993e+29,1.559451703434143e+24,5.964981137368523e-06
J11064510-7727023,0.9017103825136612,0.775,4205,0.714,-8.4,-1.36,37.162,185.81,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.9017103825136612,1.79302404431694e+30,1.670982605815355e+25,9.319354144254785e-06
J11065939-7530559,0.0767908196721311,0.066,3060,0.014,-10.64,-4.08,23.094,192.45,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.0767908196721311,1.5269624119344252e+29,3.183991715781024e+22,2.0851801530251156e-07
J11071181-7625501,0.0779543169398907,0.067,3060,0.016,-11.32,-4.79,199.91,,,young_stellar_objects,somers_2020_spots,0.17,0.0779543169398907,1.5500982060546447e+29,6.208289052689983e+21,4.0050940181986934e-08
J11071206-7632232,0.6783189071038251,0.583,3850,0.587,-8.249,-1.3,42.6514,193.87,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.6783189071038251,1.348816797208743e+30,1.918544730325198e+25,1.4223908942233345e-05
J11071330-7743498,0.2268819672131148,0.195,3270,0.098,-10.59,-3.99,21.01,190.0,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.2268819672131148,4.5114798534426234e+29,3.917165574450725e+22,8.682662234347807e-08
J11071860-7732516,0.0884257923497267,0.076,3060,0.038,-10.4,-4.0,29.628,197.52,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.0884257923497267,1.7583203531366102e+29,3.828000000000001e+22,2.1770776827847988e-07
J11072825-7652118,0.3315967213114754,0.285,3415,0.479,-8.127,-1.57,190.0,,,young_stellar_objects,somers_2020_spots,0.17,0.3315967213114754,6.593701324262294e+29,1.0303195229432232e+25,1.5625814277514242e-05
J11074245-7733593,0.1035512568306011,0.089,3060,0.056,-9.625,-3.24,190.0,,,young_stellar_objects,somers_2020_spots,0.17,0.1035512568306011,2.0590856766994537e+29,2.2027840801266357e+23,1.069787481430845e-06
J11074366-7739411,0.5386992349726777,0.463,3705,0.424,-7.691,-0.8,32.3408,190.24,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.5386992349726777,1.0711872677661204e+30,6.066971140741142e+25,5.663781976603726e-05
J11074656-7615174,0.0523573770491803,0.045,2935,0.009,-11.57,-5.13,17.3376,192.64,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.0523573770491803,1.0411107354098356e+29,2.8377356036999133e+21,2.7256808590902028e-08
