name,category,track,mass_kg,mass_msun,mdot_kg_s,radius_m,eta,luminosity_w,power_density_w_per_kg,phi_source,mass_kg_err,power_density_w_per_kg_lo,power_density_w_per_kg_hi,dubus_table
RU Peg,cataclysmic_variables,nuclear,2.1077782e+30,1.06,120000000000000.0,7505496.038996514,0.007,7.549543501389268e+28,0.035817542383678076,computed_from_mdot,7.95388e+28,0.02876257191416573,0.043425843870407065,A2
RX And,cataclysmic_variables,gravitational,2.2668557999999998e+30,1.14,65000000000000.0,7325654.0372360125,,1.3419786335999997e+27,0.000592,tabulated_erd,,,,
RX And,cataclysmic_variables,nuclear,2.2668557999999998e+30,1.14,65000000000000.0,7325654.0372360125,0.007,4.08933606325252e+28,0.01803968326195482,computed_from_mdot,6.561951e+29,0.008609205198797907,0.0351542545617581,A2
RY Ser,cataclysmic_variables,gravitational,1.4913525e+30,0.75,50000000000000.0,8422886.219205303,,1.0320159300000001e+27,0.000692,tabulated_erd,,,,
RY Ser,cataclysmic_variables,nuclear,1.4913525e+30,0.75,50000000000000.0,8422886.219205303,0.007,3.1456431255788614e+28,0.021092552737054866,computed_from_mdot,1.789623e+29,0.007533054548948166,0.038350095885554304,A2
RZ LMi,cataclysmic_variables,gravitational,1.98847e+30,1.0,20500000000000.0,7652700.0,,4.2354411e+26,0.000213,tabulated_erd,,,,
RZ LMi,cataclysmic_variables,nuclear,1.98847e+30,1.0,20500000000000.0,7652700.0,0.007,1.2897136814873333e+28,0.006485959966644372,computed_from_mdot,3.97694e+29,0.0039548536381977875,0.010282619459314246,A2
SS Aur,cataclysmic_variables,gravitational,2.1475476e+30,1.08,50000000000000.0,7458876.848407199,,1.030822848e+27,0.00047999999999999996,tabulated_erd,,,,
SS Aur,cataclysmic_variables,nuclear,2.1475476e+30,1.08,50000000000000.0,7458876.848407199,0.007,3.1456431255788614e+28,0.01464760606739921,computed_from_mdot,7.95388e+29,0.006413276170050464,0.0325693829028053,A2
SS Cyg,cataclysmic_variables,gravitational,1.6106607e+30,0.81,220000000000000.0,8209556.237301669,,4.5420631739999996e+27,0.0028199999999999996,tabulated_erd,,,,
SS Cyg,cataclysmic_variables,nuclear,1.6106607e+30,0.81,220000000000000.0,8209556.237301669,0.007,1.3840829752546992e+29,0.08593262226207538,computed_from_mdot,3.778093e+29,0.05378600947948991,0.1377819977178584,A2
SS UMi,cataclysmic_variables,gravitational,1.3123902e+30,0.66,12000000000000.0,8789551.396533914,,2.4804174779999996e+26,0.00018899999999999999,tabulated_erd,,,,
SS UMi,cataclysmic_variables,nuclear,1.3123902e+30,0.66,12000000000000.0,8789551.396533914,0.007,7.549543501389268e+27,0.005752514382833146,computed_from_mdot,2.5850110000000002e+29,0.0036044235689903885,0.008954385595919519,A2
ST Cha,cataclysmic_variables,gravitational,1.4913525e+30,0.75,700000000000000.0,8422886.219205303,,1.4451205725e+28,0.00969,tabulated_erd,,,,
ST Cha,cataclysmic_variables,nuclear,1.4913525e+30,0.75,700000000000000.0,8422886.219205303,0.007,4.4039003758104064e+29,0.29529573831876815,computed_from_mdot,2.982705e+29,0.07030850912351622,0.632776582111646,A2
